// 汉语口语速成/入门篇上册/第1课
你好[你好]	ni3hao3
你[你]	ni3
好[好]	hao3
您[您]	nin2
你们[你們]	ni3men5
老师[老師]	lao3shi1
谢谢[謝謝]	xie4xie5
不客气[不客氣]	bu4//ke4qi4
不[不]	bu4
客气[客氣]	ke4qi5
对不起[對不起]	dui4bu5qi3
没关系[沒關係]	mei2guan1xi5
再见[再見]	zai4jian4
请[請]	qing3
进[進]	jin4
坐[坐]	zuo4
听[聽]	ting1
说[說]	shuo1
读[讀]	du2
写[寫]	xie3
// 汉语口语速成/入门篇上册/第2课
吗[嗎]	ma5
我[我]	wo3
很[很]	hen3
呢[呢]	ne5
也[也]	ye3
爸爸[爸爸]	ba4ba5
妈妈[媽媽]	ma1ma5
都[都]	dou1
他们[他們]	ta1men5
哥哥[哥哥]	ge1ge5
他[他]	ta1
姐姐[姐姐]	jie3jie5
她[她]	ta1
爱人[愛人]	ai4ren5
弟弟[弟弟]	di4di5
妹妹[妹妹]	mei4mei5
忙[忙]	mang2
累[累]	lei4
饿[餓]	e4
渴[渴]	ke3
// 汉语口语速成/入门篇上册/第3课
吃[吃]	chi1
什么[什麼]	shen2me5
饺子[餃子]	jiao3zi5
米饭[米飯]	mi3fan4
面条[麵條]	mian4tiao2
面包[麵包]	mian4bao1
包子[包子]	bao1zi5
喝[喝]	he1
啤酒[啤酒]	pi2jiu3
茶[茶]	cha2
咖啡[咖啡]	ka1fei1
矿泉水[礦泉水]	kuang4quan2shui3
牛奶[牛奶]	niu2nai3
水[水]	shui3
买[買]	mai3
词典[詞典]	ci2dian3
本子[本子]	ben3zi5
书[書]	shu1
笔[筆]	bi3
书包[書包]	shu1bao1
可口可乐[可口可樂]	Ke3kou3 Ke3le4
可乐[可樂]	ke3le4
// 汉语口语速成/入门篇上册/第4课
要[要]	yao4
换[換]	huan4
钱[錢]	qian2
多少[多少]	duo1shao5
一[一]	yi1
百[百]	bai3
美元[美元]	mei3yuan2
二[二]	er4
三[三]	san1
四[四]	si4
五[五]	wu3
十[十]	shi2
两[兩]	liang3
杯[杯]	bei1
块[塊]	kuai4
元[元]	yuan2
个[個]	ge4
六[六]	liu4
毛[毛]	mao2
角[角]	jiao3
分[分]	fen1
瓶[瓶]	ping2
七[七]	qi1
八[八]	ba1
本[本]	ben3
九[九]	jiu3
// 汉语口语速成/入门篇上册/第5课
请问[請問]	qing3wen4
图书馆[圖書館]	tu2shu1guan3
在[在]	zai4
哪儿[哪兒]	na3r5
就[就]	jiu4
那儿[那兒]	na4r5
食堂[食堂]	shi2tang2
留学生[留學生]	liu2xue2sheng1
宿舍[宿舍]	su4she4
办公室[辦公室]	ban4gong1shi4
